model code|colour code|colour description|price|pricfrom|priceto|model year|incl tax|active
4A2SFA|6Y6Y|Daytona Gray Pearlescent| 15973.91|20220615|99991231|2023|N|Y
4A2SFA|9W9W|No Colour Description - Contact VWSA IT| 33391.30|20230803|99991231|2024|N|Y
4A2SFA|A2A2|Brilliant Black|     0.00|20230803|99991231|2024|N|Y
4A2SFA|A2A2|Brilliant Black|     0.00|20220615|99991231|2023|N|Y
4A2SFA|F4F4|Vesuvius Gray Metallic|  3921.74|20220615|99991231|2023|N|Y
4A2SFA|H1H1|Manhattan Gray Metallic|  3921.74|20220615|99991231|2023|N|Y
4A2SFA|L5L5|Floret Silver Metallic|  3921.74|20220615|99991231|2023|N|Y
4A2SFA|L5L5|Floret Silver Metallic|     0.00|20230803|99991231|2024|N|Y
4A2SFA|N3N3|Carat Beige Metallic|  3921.74|20220615|99991231|2023|N|Y
4A2SFA|Q0Q0|Individual paint finish, Audi exclusive| 72956.52|20230803|99991231|2024|N|Y
4A2SFA|Q0Q0|Individual paint finish, Audi exclusive| 57826.09|20220615|99991231|2023|N|Y
4A2SFA|S5S5|No Colour Description - Contact VWSA IT|     0.00|20230803|99991231|2024|N|Y
4A2SFA|T9T9|Ibis White|     0.00|20220615|99991231|2023|N|Y
4A2SFA|Y1Y1|Tango Red Metallic|  3921.74|20220615|99991231|2023|N|Y
4A2SFA|Z7Z7|Chronos Grey|     0.00|20230803|99991231|2024|N|Y
4A2SFA|Z7Z7|Chronos Grey|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|0E0E|Myth Black Metallic|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|2D2D|Navarra Blue Metallic|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|2Y2Y|Glacier White Metallic|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|6I6I|Ultra Blue Metallic|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|6Y6Y|Daytona Gray Pearlescent| 15973.91|20220615|99991231|2023|N|Y
4A5RCA|H1H1|Manhattan Gray Metallic|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|L5L5|Floret Silver Metallic|  3921.74|20220615|99991231|2023|N|Y
4A5RCA|O0O0|Individual paint finish, Audi exclusive| 96956.52|20220615|99991231|2023|N|Y
4A5RCA|Q0Q0|Individual paint finish, Audi exclusive| 57826.09|20220615|99991231|2023|N|Y
