model code|option code|option description|price|pricfrom|priceto|model year|incl_tax|active|deleted|standard
4A2C9G|510|STANDARD AFP - 60(MON)/ 100000(KM)|               66044.00|20240401|99991231|2024|N|Y|N|N
4A2C9G|4ZP|Black Styling package plus|               14434.78|20230803|99991231|2024|N|Y|N|N
4A2C9G|4ZD|Black Styling package|               11130.43|20230803|99991231|2024|N|Y|N|N
4A2C9G|4X9|Audi pre sense rear package|               13391.30|20230803|99991231|2024|N|Y|N|N
4A2CUA|9VS|Bang & Olufsen 3D Premium sound system|               20695.65|20230803|99991231|2024|N|Y|N|N
4A2CUA|9ZE|Audi phone box|                9043.48|20230803|99991231|2024|N|Y|N|N
4A2CUA|C1S|Wheels, 5-V-spoke, Graphite Gray, gloss|               18000.00|20230803|99991231|2024|N|Y|N|N
4A2CUA|F57|Wheels, 5-V-spoke dynamic style, Graphit|               34434.78|20230803|99991231|2024|N|Y|N|N
4A2CUA|GB1|LTE support for Audi phone box|                   0.00|20230805|99991231|2024|N|Y|N|Y
4A2CUA|GS5|Accent surfaces and operating buttons in|                6086.96|20230803|99991231|2024|N|Y|N|N
4A2CUA|GZ2|Power latching for doors|               11478.26|20230803|99991231|2024|N|Y|N|N
4A2CUA|KS1|Head-up display|               26000.00|20230803|99991231|2024|N|Y|N|N
4A2CUA|N2R|Valcona leather with S embossing|               24086.96|20230803|99991231|2024|N|Y|N|N
4A2CUA|N5D|Valcona leather upholstery and trim|               24086.96|20230803|99991231|2024|N|Y|N|N
4A2CUA|N5J|Dinamica microfiber/leather combination|                6347.83|20230803|99991231|2024|N|Y|N|N
4A2CUA|PCC|Tour assistance package|               36260.87|20230803|99991231|2024|N|Y|N|N
4A2CUA|PCH|Lane change warning incl. Audi pre sense|               16695.65|20230803|99991231|2024|N|Y|N|N
4A2CUA|PCZ|Premium package for Taiwan without KA6|               19217.39|20230803|99991231|2024|N|Y|N|N
4A2CUA|PGB|Comfort key incl. sensor-controlled lugg|               15043.48|20230803|99991231|2024|N|Y|N|N
4A2CUA|PXC|HD Matrix LED headlamps and LED rear com|               14695.65|20230803|99991231|2024|N|Y|N|N
4A2CUA|PXI|Tinted HD Matrix LED headlamps, LED rear|               35391.30|20230803|99991231|2024|N|Y|N|N
4A2CUA|Q1D|Sport seats, front|                6347.83|20230803|99991231|2024|N|Y|N|N
4A2CUA|QE1|Storage and Luggage Compartment package|                1478.26|20230803|99991231|2024|N|Y|N|N
4A2CUA|QQ2|Ambient lighting package plus|               10260.87|20230803|99991231|2024|N|Y|N|N
4A2CUA|SC4|No Option Description - Contact VWSA IT|                   0.00|20231212|99991231|2024|N|Y|N|Y
4A2CUA|UE8|USB ports with charging function in rear|                2782.61|20230803|99991231|2024|N|Y|N|N
4A2CUA|WQS|S line interior|                1739.13|20230803|99991231|2024|N|Y|N|N
4A2CUA|YJZ|SWIN management|                   0.00|20231117|99991231|2024|N|Y|N|Y
4A2CUA|9TG|Entry LED with logo projection, front|                2347.83|20230803|99991231|2024|N|Y|N|N
4A2CUA|1BK|Adaptive air suspension system|               29304.35|20230803|99991231|2024|N|Y|N|N
4A2CUA|1D4|Trailer hitch|               17826.09|20230803|99991231|2024|N|Y|N|N
4A2CUA|1XP|Leather steering wheel, 3-spoke with mul|                7652.17|20230803|99991231|2024|N|Y|N|N
4A2CUA|2C7|Steering wheel adjustment, electric|                7217.39|20230803|99991231|2024|N|Y|N|N
4A2CUA|2PF|Sports contour leather-wrapped steering|                4260.87|20230803|99991231|2024|N|Y|N|N
4A2CUA|2V9|Air ionizer and aromatization|                8086.96|20230803|99991231|2024|N|Y|N|N
4A2CUA|2Z0|Elimination of model designation on rear|                   0.00|20230805|99991231|2024|N|Y|N|Y
4A2CUA|3FB|Panoramic glass sunroof|               30000.00|20230803|99991231|2024|N|Y|N|N
4A2CUA|42R|19“ Wheels, 5-double-spoke style, Graph|                1826.09|20230803|99991231|2024|N|Y|N|N
4A2CUA|4A3|Seat heating, front|                6869.57|20230803|99991231|2024|N|Y|N|N
4A2CUA|4A4|Seat heating, front and rear|               13652.17|20230803|99991231|2024|N|Y|N|N
4A2CUA|4E7|Luggage compartment lid, electrically|                9478.26|20230803|99991231|2024|N|Y|N|N
4A2CUA|9R1|Night vision assist|               40000.00|20230803|99991231|2024|N|Y|N|N
4A2CUA|9AQ|4-zone deluxe automatic air conditioning|               14434.78|20230803|99991231|2024|N|Y|N|N
4A2CUA|7TH|Dinamica microfiber decorative inserts,|               17826.09|20230803|99991231|2024|N|Y|N|N
